x_c,y_c,Ri,rho,u,v,p,T
-0.163158,0.0854526,0,0.116124,208.331,0,10000,300
-0.1612,0.089092,0,0.116124,208.331,0,10000,300
-0.15916,0.0926866,0,0.116124,208.331,0,10000,300
-0.15704,0.0962344,0,0.116124,208.331,0,10000,300
-0.154841,0.0997338,0,0.116124,208.331,0,10000,300
-0.152565,0.103183,0,0.116124,208.331,0,10000,300
-0.150211,0.10658,0,0.116124,208.331,0,10000,300
-0.147782,0.109924,0,0.116124,208.331,0,10000,300
-0.145278,0.113212,0,0.116124,208.331,0,10000,300
-0.142702,0.116444,0,0.116124,208.331,0,10000,300
-0.140053,0.119616,0,0.116124,208.331,0,10000,300
-0.137333,0.122729,0,0.116124,208.331,0,10000,300
-0.134545,0.125779,0,0.116124,208.331,0,10000,300
-0.131689,0.128767,0,0.116124,208.331,0,10000,300
-0.128767,0.131689,0,0.116124,208.331,0,10000,300
-0.125779,0.134545,0,0.116124,208.331,0,10000,300
-0.122729,0.137333,0,0.116124,208.331,0,10000,300
-0.119616,0.140053,0,0.116124,208.331,0,10000,300
-0.116444,0.142702,0,0.116124,208.331,0,10000,300
-0.113212,0.145278,0,0.116124,208.331,0,10000,300
-0.109924,0.147782,0,0.116124,208.331,0,10000,300
-0.10658,0.150211,0,0.116124,208.331,0,10000,300
-0.103183,0.152565,0,0.116124,208.331,0,10000,300
-0.0997338,0.154841,0,0.116124,208.331,0,10000,300
-0.0962344,0.15704,0,0.116124,208.331,0,10000,300
-0.0926866,0.15916,0,0.116124,208.331,0,10000,300
-0.089092,0.1612,0,0.116124,208.331,0,10000,300
-0.0854526,0.163158,0,0.116124,208.331,0,10000,300
-0.0817701,0.165035,0,0.116124,208.331,0,10000,300
-0.0780465,0.166828,0,0.116124,208.331,0,10000,300
-0.0742835,0.168537,0,0.116124,208.331,0,10000,300
-0.0704832,0.170161,0,0.116124,208.331,0,10000,300
-0.0666473,0.1717,0,0.116124,208.331,0,10000,300
-0.0627779,0.173152,0,0.116124,208.331,0,10000,300
-0.0588769,0.174517,0,0.116124,208.331,0,10000,300
-0.0549463,0.175794,0,0.116124,208.331,0,10000,300
-0.0509879,0.176983,0,0.116124,208.331,0,10000,300
-0.047004,0.178083,0,0.116124,208.331,0,10000,300
-0.0429963,0.179092,0,0.116124,208.331,0,10000,300
-0.038967,0.180012,0,0.116124,208.331,0,10000,300
-0.034918,0.180841,0,0.116124,208.331,0,10000,300
-0.0308515,0.181579,0,0.116124,208.331,0,10000,300
-0.0267695,0.182226,0,0.116124,208.331,0,10000,300
-0.0226739,0.18278,0,0.116124,208.331,0,10000,300
-0.018567,0.183243,0,0.116124,208.331,0,10000,300
-0.0144507,0.183614,0,0.116124,208.331,0,10000,300
-0.0103271,0.183892,0,0.116124,208.331,0,10000,300
-0.00619836,0.184077,0,0.116124,208.331,0,10000,300
-0.00206647,0.18417,0,0.116124,208.331,0,10000,300
-0.153475,0.00172205,0,0.116124,208.331,0,10000,300
-0.153397,0.00516529,0,0.116124,208.331,0,10000,300
-0.153243,0.00860594,0,0.116124,208.331,0,10000,300
-0.153011,0.0120422,0,0.116124,208.331,0,10000,300
-0.152702,0.0154725,0,0.116124,208.331,0,10000,300
-0.152317,0.0188949,0,0.116124,208.331,0,10000,300
-0.151855,0.0223079,0,0.116124,208.331,0,10000,300
-0.151315,0.0257095,0,0.116124,208.331,0,10000,300
-0.150701,0.0290983,0,0.116124,208.331,0,10000,300
-0.15001,0.0324724,0,0.116124,208.331,0,10000,300
-0.149244,0.0358302,0,0.116124,208.331,0,10000,300
-0.148402,0.0391699,0,0.116124,208.331,0,10000,300
-0.147485,0.0424898,0,0.116124,208.331,0,10000,300
-0.146495,0.0457885,0,0.116124,208.331,0,10000,300
-0.145431,0.049064,0,0.116124,208.331,0,10000,300
-0.144293,0.0523149,0,0.116124,208.331,0,10000,300
-0.143083,0.0555394,0,0.116124,208.331,0,10000,300
-0.141801,0.0587359,0,0.116124,208.331,0,10000,300
-0.140448,0.0619028,0,0.116124,208.331,0,10000,300
-0.139023,0.0650386,0,0.116124,208.331,0,10000,300
-0.137528,0.0681416,0,0.116124,208.331,0,10000,300
-0.135965,0.0712104,0,0.116124,208.331,0,10000,300
-0.134333,0.0742432,0,0.116124,208.331,0,10000,300
-0.132633,0.0772387,0,0.116124,208.331,0,10000,300
-0.130867,0.0801953,0,0.116124,208.331,0,10000,300
-0.129034,0.0831115,0,0.116124,208.331,0,10000,300
-0.127137,0.0859859,0,0.116124,208.331,0,10000,300
-0.125176,0.0888169,0,0.116124,208.331,0,10000,300
-0.123151,0.0916032,0,0.116124,208.331,0,10000,300
-0.121065,0.0943434,0,0.116124,208.331,0,10000,300
-0.118918,0.097036,0,0.116124,208.331,0,10000,300
-0.11671,0.0996801,0,0.116124,208.331,0,10000,300
-0.114444,0.102274,0,0.116124,208.331,0,10000,300
-0.112121,0.104816,0,0.116124,208.331,0,10000,300
-0.109741,0.107305,0,0.116124,208.331,0,10000,300
-0.107305,0.109741,0,0.116124,208.331,0,10000,300
-0.104816,0.112121,0,0.116124,208.331,0,10000,300
-0.102274,0.114444,0,0.116124,208.331,0,10000,300
-0.0996801,0.11671,0,0.116124,208.331,0,10000,300
-0.097036,0.118918,0,0.116124,208.331,0,10000,300
-0.0943433,0.121065,0,0.116124,208.331,0,10000,300
-0.0916032,0.123151,0,0.116124,208.331,0,10000,300
-0.0888169,0.125176,0,0.116124,208.331,0,10000,300
-0.0859858,0.127137,0,0.116124,208.331,0,10000,300
-0.0831115,0.129034,0,0.116124,208.331,0,10000,300
-0.0801953,0.130867,0,0.116124,208.331,0,10000,300
-0.0772387,0.132633,0,0.116124,208.331,0,10000,300
-0.0742432,0.134333,0,0.116124,208.331,0,10000,300
-0.0712104,0.135965,0,0.116124,208.331,0,10000,300
-0.0681416,0.137528,0,0.116124,208.331,0,10000,300
-0.0650386,0.139023,0,0.116124,208.331,0,10000,300
